id,name,district,state_id,is_display
838,Sasaram,Sasaram,5,1
839,Hajipur,Hajipur,5,1
840,Dehri-on-Sone,Dehri-on-Sone,5,1
841,Bettiah,Bettiah,5,1
842,Motihari,Motihari,5,1
843,Bagaha,Bagaha,5,1
844,Jamalpur,Jamalpur,5,1
845,Masaurhi,Masaurhi,5,1
846,Mokameh,Mokameh,5,1
847,Dumraon,Dumraon,5,1
848,Forbesganj,Forbesganj,5,1
849,"BhabUrban Agglomeration","BhabUrban Agglomeration",5,1
850,Narkatiaganj,Narkatiaganj,5,1
851,Naugachhia,Naugachhia,5,1
852,Sultanganj,Sultanganj,5,1
853,"Raxaul Bazar","Raxaul Bazar",5,1
854,Ramnagar,Ramnagar,5,1
855,"Mahnar Bazar","Mahnar Bazar",5,1
856,Warisaliganj,Warisaliganj,5,1
857,Revelganj,Revelganj,5,1
858,Rajgir,Rajgir,5,1
859,Sonepur,Sonepur,5,1
860,Sherghati,Sherghati,5,1
861,Sugauli,Sugauli,5,1
862,Makhdumpur,Makhdumpur,5,1
863,Maner,Maner,5,1
864,Rosera,Rosera,5,1
865,Nokha,Nokha,5,1
866,Piro,Piro,5,1
867,Rafiganj,Rafiganj,5,1
868,Marhaura,Marhaura,5,1
869,Mirganj,Mirganj,5,1
870,Lalganj,Lalganj,5,1
871,Murliganj,Murliganj,5,1
872,Motipur,Motipur,5,1
873,Manihari,Manihari,5,1
874,Silao,Silao,5,1
875,Barh,Barh,5,1
876,Asarganj,Asarganj,5,1
877,"Bhilai Nagar","Bhilai Nagar",7,1
878,Bilaspur,Bilaspur,7,1
879,Jagdalpur,Jagdalpur,7,1
880,Ambikapur,Ambikapur,7,1
881,Chirmiri,Chirmiri,7,1
882,Bhatapara,Bhatapara,7,1
883,Dalli-Rajhara,Dalli-Rajhara,7,1
884,"Naila Janjgir","Naila Janjgir",7,1
885,"Tilda Newra","Tilda Newra",7,1
886,Mungeli,Mungeli,7,1
887,Manendragarh,Manendragarh,7,1
888,Sakti,Sakti,7,1
889,Silvassa,Silvassa,8,1
890,Delhi,Delhi,10,1
891,Marmagao,Marmagao,11,1
892,Panaji,Panaji,11,1
893,Margao,Margao,11,1
894,Mapusa,Mapusa,11,1
895,Nadiad,Nadiad,12,1
896,Morvi,Morvi,12,1
897,Vapi,Vapi,12,1
898,Veraval,Veraval,12,1
899,Bhuj,Bhuj,12,1
900,Godhra,Godhra,12,1
901,Palanpur,Palanpur,12,1
902,Deesa,Deesa,12,1
903,Anjar,Anjar,12,1
904,Dhoraji,Dhoraji,12,1
905,Khambhat,Khambhat,12,1
906,Mahuva,Mahuva,12,1
907,Keshod,Keshod,12,1
908,Wadhwan,Wadhwan,12,1
909,Ankleshwar,Ankleshwar,12,1
910,Savarkundla,Savarkundla,12,1
911,Kadi,Kadi,12,1
912,Visnagar,Visnagar,12,1
913,Upleta,Upleta,12,1
914,Sidhpur,Sidhpur,12,1
915,Unjha,Unjha,12,1
916,Mangrol,Mangrol,12,1
917,Viramgam,Viramgam,12,1
918,Modasa,Modasa,12,1
919,Palitana,Palitana,12,1
920,Petlad,Petlad,12,1
921,Kapadvanj,Kapadvanj,12,1
922,Sihor,Sihor,12,1
923,Wankaner,Wankaner,12,1
924,Limbdi,Limbdi,12,1
925,Mandvi,Mandvi,12,1
926,Thangadh,Thangadh,12,1
927,Vyara,Vyara,12,1
928,Padra,Padra,12,1
929,Lunawada,Lunawada,12,1
930,Rajpipla,Rajpipla,12,1
931,Vapi,Vapi,12,1
932,Umreth,Umreth,12,1
933,Sanand,Sanand,12,1
934,Rajula,Rajula,12,1
935,Radhanpur,Radhanpur,12,1
936,Mahemdabad,Mahemdabad,12,1
937,Ranavav,Ranavav,12,1
938,Tharad,Tharad,12,1
939,Umbergaon,Umbergaon,12,1
940,Talaja,Talaja,12,1
941,Vadnagar,Vadnagar,12,1
942,Manavadar,Manavadar,12,1
943,Salaya,Salaya,12,1
944,Vijapur,Vijapur,12,1
945,Pardi,Pardi,12,1
946,Rapar,Rapar,12,1
947,Songadh,Songadh,12,1
948,Lathi,Lathi,12,1
949,Adalaj,Adalaj,12,1
950,Chhapra,Chhapra,12,1
951,Yamunanagar,Yamunanagar,13,1
952,Bahadurgarh,Bahadurgarh,13,1
953,Thanesar,Thanesar,13,1
954,Palwal,Palwal,13,1
955,Hansi,Hansi,13,1
956,Narnaul,Narnaul,13,1
957,Gohana,Gohana,13,1
958,Tohana,Tohana,13,1
959,Narwana,Narwana,13,1
960,"Mandi Dabwali","Mandi Dabwali",13,1
961,"Charkhi Dadri","Charkhi Dadri",13,1
962,Shahbad,Shahbad,13,1
963,Pehowa,Pehowa,13,1
964,Samalkha,Samalkha,13,1
965,Pinjore,Pinjore,13,1
966,Ladwa,Ladwa,13,1
967,Sohna,Sohna,13,1
968,Safidon,Safidon,13,1
969,Taraori,Taraori,13,1
970,Ratia,Ratia,13,1
971,Rania,Rania,13,1
972,Sarsod,Sarsod,13,1
973,Nahan,Nahan,14,1
974,Sundarnagar,Sundarnagar,14,1
975,Palampur,Palampur,14,1
976,Baramula,Baramula,15,1
977,Anantnag,Anantnag,15,1
978,Sopore,Sopore,15,1
979,"KathUrban Agglomeration","KathUrban Agglomeration",15,1
980,Punch,Punch,15,1
981,Jamshedpur,Jamshedpur,16,1
982,"Bokaro Steel City","Bokaro Steel City",16,1
983,Phusro,Phusro,16,1
984,Adityapur,Adityapur,16,1
985,Giridih,Giridih,16,1
986,"Jhumri Tilaiya","Jhumri Tilaiya",16,1
987,Saunda,Saunda,16,1
988,"Medininagar (Daltonganj)","Medininagar (Daltonganj)",16,1
989,Chaibasa,Chaibasa,16,1
990,Gumia,Gumia,16,1
991,Madhupur,Madhupur,16,1
992,Chirkunda,Chirkunda,16,1
993,Pakaur,Pakaur,16,1
994,Musabani,Musabani,16,1
995,Mihijam,Mihijam,16,1
996,Patratu,Patratu,16,1
997,"Tenu dam-cum-Kathhara","Tenu dam-cum-Kathhara",16,1
998,Bengaluru,Bengaluru,17,1
999,Hubli-Dharwad,Hubli-Dharwad,17,1
1000,Belagavi,Belagavi,17,1
1001,Mangaluru,Mangaluru,17,1
1002,Davanagere,Davanagere,17,1
1003,Ballari,Ballari,17,1
1004,Shivamogga,Shivamogga,17,1
1005,Raayachuru,Raayachuru,17,1
1006,"Robertson Pet","Robertson Pet",17,1
1007,Chikkamagaluru,Chikkamagaluru,17,1
1008,Karwar,Karwar,17,1
1009,Ranebennuru,Ranebennuru,17,1
1010,Ranibennur,Ranibennur,17,1
1011,Ramanagaram,Ramanagaram,17,1
1012,Gokak,Gokak,17,1
1013,"Rabkavi Banhatti","Rabkavi Banhatti",17,1
1014,Shahabad,Shahabad,17,1
1015,Sirsi,Sirsi,17,1
1016,Sindhnur,Sindhnur,17,1
1017,Tiptur,Tiptur,17,1
1018,Arsikere,Arsikere,17,1
1019,Nanjangud,Nanjangud,17,1
1020,Sagara,Sagara,17,1
1021,Sira,Sira,17,1
1022,Puttur,Puttur,17,1
1023,Athni,Athni,17,1
1024,Mulbagal,Mulbagal,17,1
1025,Surapura,Surapura,17,1
1026,Siruguppa,Siruguppa,17,1
1027,Mudhol,Mudhol,17,1
1028,Sidlaghatta,Sidlaghatta,17,1
1029,Shahpur,Shahpur,17,1
1030,Saundatti-Yellamma,Saundatti-Yellamma,17,1
1031,Wadi,Wadi,17,1
1032,Manvi,Manvi,17,1
1033,Nelamangala,Nelamangala,17,1
1034,Lakshmeshwar,Lakshmeshwar,17,1
1035,Ramdurg,Ramdurg,17,1
1036,Nargund,Nargund,17,1
1037,Tarikere,Tarikere,17,1
1038,Malavalli,Malavalli,17,1
1039,Savanur,Savanur,17,1
1040,Lingsugur,Lingsugur,17,1
1041,Vijayapura,Vijayapura,17,1
1042,Sankeshwara,Sankeshwara,17,1
1043,Madikeri,Madikeri,17,1
1044,Talikota,Talikota,17,1
1045,Sedam,Sedam,17,1
1046,Shikaripur,Shikaripur,17,1
1047,Mahalingapura,Mahalingapura,17,1
1048,Mudalagi,Mudalagi,17,1
1049,Muddebihal,Muddebihal,17,1
1050,Pavagada,Pavagada,17,1
1051,Malur,Malur,17,1
1052,Sindhagi,Sindhagi,17,1
1053,Sanduru,Sanduru,17,1
1054,Afzalpur,Afzalpur,17,1
1055,Maddur,Maddur,17,1
